side_length,frames,milp_frames,messages,bits,exact_radius,exact_epoc,farthest_first_radius,farthest_first_epoc,approximation_ratio,general_milp_epoc,metric_seconds,milp_seconds
5,8,2,1,0,4.0,0.5,8.0,1.0,2.0,0.5,0.030596224999953847,0.012302199999794539
5,8,2,2,1,3.0,0.375,4.0,0.5,1.3333333333333333,0.375,0.018780302999857668,0.06308543400018607
5,8,2,4,2,2.0,0.25,4.0,0.5,2.0,0.25,0.01724707399989711,0.9680599629996323
5,8,2,8,3,1.0,0.125,2.0,0.25,2.0,0.125,0.01340130600010525,1.5054490980000992
5,8,2,16,4,1.0,0.125,1.0,0.125,1.0,,0.015388598999834358,
5,8,2,25,5,0.0,0.0,0.0,0.0,1.0,,0.0017453970003771246,
