q,sender_types,receiver_actions,pairwise_graph_messages,exact_messages,theory_messages,exact_bits,seconds
2,7,7,1,3,3,2,0.002374910000071395
3,13,13,1,4,4,2,0.0024448720000691537
5,31,31,1,6,6,3,0.004849266000292118
7,57,57,1,8,8,3,0.012390082999900187
11,133,133,1,12,12,4,0.16197509499988882
13,183,183,1,14,14,4,0.4163092289995802
