num_types,num_actions,mean_messages,mean_seconds,max_seconds
50,20000,25.3,6.457249996856262e-05,9.536100014884141e-05
100,20000,38.3,0.00014699650005240984,0.00018447699994794675
250,20000,57.8,0.00047041090006132434,0.0005128200000399374
500,20000,81.3,0.0012182044999917707,0.0013104570002724358
1000,20000,119.1,0.003406376200109662,0.003735740000138321
2500,20000,187.3,0.01387676599997576,0.019212229999993724
5000,20000,267.4,0.03955395910002153,0.04553762000023198
10000,20000,373.5,0.11360565810000481,0.12000156799967954
