num_levers,noise_radius,receiver_bias_radius,bits,messages,epoc,theory_epoc,seconds,worlds
13,0,0,0,1,1.0,1.0,0.0066622739996091696,26
13,0,0,1,2,0.5,0.5,0.01952313999981925,26
13,0,0,2,4,0.33333333333333326,0.3333333333333333,0.08714044400039711,26
13,0,0,3,8,0.16666666666666663,0.16666666666666666,0.08403071499969883,26
13,0,0,4,13,0.0,0.0,0.3772044970000934,26
13,1,0,0,1,1.0,1.0,0.008600682999713172,78
13,1,0,1,2,0.6666666666666666,0.6666666666666666,0.025631518999944092,78
13,1,0,2,4,0.5,0.5,0.07382101599978341,78
13,1,0,3,8,0.33333333333333326,0.3333333333333333,0.1273080559999471,78
13,1,0,4,13,0.16666666666666663,0.16666666666666666,0.19327609599986317,78
13,0,1,0,1,1.0,1.0,0.008763035999891144,78
13,0,1,1,2,0.6666666666666666,0.6666666666666666,0.02520051200008311,78
13,0,1,2,4,0.5,0.5,0.08451927699979933,78
13,0,1,3,8,0.33333333333333326,0.3333333333333333,0.12307270800010883,78
13,0,1,4,13,0.16666666666666663,0.16666666666666666,0.3026192950001132,78
13,1,1,0,1,1.0,1.0,0.017045146000327804,234
13,1,1,1,2,0.8333333333333334,0.8333333333333334,0.055714882999836846,234
13,1,1,2,4,0.6666666666666666,0.6666666666666666,0.12550888399982796,234
13,1,1,3,8,0.5,0.5,0.2188456019998739,234
13,1,1,4,13,0.33333333333333326,0.3333333333333333,0.35027080300005764,234
13,2,1,0,1,1.0,1.0,0.023890541000127996,390
13,2,1,1,2,1.0,1.0,0.04026480100037588,390
13,2,1,2,4,0.8333333333333334,0.8333333333333334,0.13490599999977348,390
13,2,1,3,8,0.6666666666666666,0.6666666666666666,0.2607097129998692,390
13,2,1,4,13,0.5,0.5,0.7962692309997692,390
