num_types,num_actions,set_size,seed,pairwise_graph_messages,exact_messages,greedy_messages,higher_order_gap,approximation_ratio,pairwise_conflicts,coloring_seconds,exact_seconds,greedy_seconds
30,20,2,0,9,9,10,1.0,1.1111111111111112,357,0.029421329999877344,0.0025682770001367317,0.0003191219998370798
30,20,2,1,10,10,10,1.0,1.0,355,0.03728068800000983,0.0030879720002303657,0.0003218540000489156
30,20,2,2,10,10,10,1.0,1.0,345,0.03031709300012153,0.0030289429996628314,0.0004889060001005419
30,20,2,3,8,8,8,1.0,1.0,349,0.03915649600003235,0.0027520490002643783,0.0004496209999160783
30,20,2,4,10,10,10,1.0,1.0,344,0.028865075999874534,0.0052512190000015835,0.000460160000329779
30,20,2,5,8,8,9,1.0,1.125,347,0.03514227100004064,0.003051496999887604,0.0004979769996680261
30,20,2,6,10,10,10,1.0,1.0,349,0.037614660000144795,0.004391518999909749,0.00045134500032872893
30,20,2,7,9,10,10,1.1111111111111112,1.0,344,0.024021898000228248,0.0032596480000393058,0.0004922500002066954
30,20,2,8,9,9,9,1.0,1.0,354,0.03435564300025362,0.0028785929998775828,0.00042032700002891943
30,20,2,9,9,9,9,1.0,1.0,347,0.03222310799992556,0.00268217899974843,0.00048272599997289944
30,20,2,10,9,10,10,1.1111111111111112,1.0,350,0.027683395000167366,0.003092934000051173,0.0005283210002744454
30,20,2,11,8,9,10,1.125,1.1111111111111112,331,0.025493143999938184,0.0037119230000826064,0.00047498499998255284
30,20,2,12,8,8,8,1.0,1.0,358,0.05751952499986146,0.0025964989999920363,0.0004054480000377225
30,20,2,13,9,9,9,1.0,1.0,345,0.038356939000095736,0.0036065599997527897,0.0004030389995932637
30,20,2,14,10,10,10,1.0,1.0,360,0.035028015000079904,0.0027158679999956803,0.0004721320001408458
30,20,2,15,9,10,10,1.1111111111111112,1.0,342,0.02903991599987421,0.003135160000056203,0.0005317980003383127
30,20,2,16,10,10,11,1.0,1.1,349,0.025166333000015584,0.004753246999825933,0.0004912490003334824
30,20,2,17,9,9,10,1.0,1.1111111111111112,348,0.025930454999979702,0.0024451009999211237,0.0004602710000654042
30,20,2,18,10,10,10,1.0,1.0,348,0.02979727699994328,0.0029900220001763955,0.0003302530003566062
30,20,2,19,9,9,9,1.0,1.0,333,0.02212476400018204,0.003113669999947888,0.0003268529999331804
30,20,3,0,7,8,9,1.1428571428571428,1.125,267,0.004103600000235019,0.0129952150000463,0.00029721400005655596
30,20,3,1,6,6,7,1.0,1.1666666666666667,259,0.004488392999974167,0.0023820149999664864,0.00022794300002715318
30,20,3,2,6,7,7,1.1666666666666667,1.0,244,0.002998495000156254,0.007255010999870137,0.00024522900002921233
30,20,3,3,6,7,7,1.1666666666666667,1.0,268,0.0032323610003004433,0.009022465999805718,0.0002611919999253587
